epoch,accuracy,loss,lr,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.9676160216331482,0.15822020173072815,1e-05,0.999442458152771,0.9819482564926147,0.14237487316131592,1.0
1,0.9707289934158325,0.1499440222978592,1e-05,0.9997212290763855,0.9837371706962585,0.13332055509090424,1.0
2,0.9740742444992065,0.14217400550842285,1e-05,0.9996747374534607,0.985200822353363,0.1320037841796875,1.0
3,0.9762114882469177,0.1394256204366684,1e-05,0.999488890171051,0.9850382208824158,0.13127101957798004,1.0
4,0.9782558083534241,0.13450771570205688,1e-05,0.9997676610946655,0.986176609992981,0.12683270871639252,1.0
5,0.9785810708999634,0.13080231845378876,1e-05,0.9996747374534607,0.9856887459754944,0.12551264464855194,1.0
6,0.9815546274185181,0.12209714204072952,1e-05,0.9997212290763855,0.9856887459754944,0.12328808754682541,1.0
7,0.9811829328536987,0.12293452024459839,1e-05,0.9998141527175903,0.9899170398712158,0.11902019381523132,1.0
8,0.9828090667724609,0.11964040994644165,1e-05,0.9999535083770752,0.985200822353363,0.1251886487007141,1.0
9,0.9817404747009277,0.11720993369817734,1e-05,0.9999535083770752,0.9878029227256775,0.11675504595041275,1.0
10,0.9821586012840271,0.11338777095079422,1e-05,0.9997212290763855,0.9845503568649292,0.12448309361934662,1.0
11,0.9845281839370728,0.113047294318676,1e-05,0.9997676610946655,0.9865018725395203,0.11835582554340363,1.0
12,0.9842958450317383,0.11119646579027176,1e-05,0.9998605847358704,0.9878029227256775,0.1151624545454979,1.0
13,0.9856432676315308,0.10746727883815765,1e-05,0.9999070763587952,0.9899170398712158,0.1101798489689827,1.0
14,0.9854574203491211,0.10584447532892227,1e-05,0.9997676610946655,0.9897544384002686,0.11059193313121796,1.0
15,0.9862472414970398,0.10426187515258789,1e-05,0.9998605847358704,0.9873149991035461,0.11316187679767609,1.0
16,0.9859220385551453,0.10323433578014374,1e-05,0.9999070763587952,0.9900797009468079,0.10697183012962341,1.0
17,0.9873623847961426,0.09970439970493317,1e-05,0.9999535083770752,0.9923564791679382,0.10215070843696594,1.0
18,0.9885239005088806,0.09872665256261826,1e-05,0.9999070763587952,0.9904049634933472,0.10264959931373596,1.0
19,0.9883845448493958,0.09641622751951218,1e-05,0.9998605847358704,0.9917059540748596,0.0980035588145256,1.0
